Game_ID,Date,Status,Away_Team,Away_Score,Away_Diff,Home_Team,Home_Score,Home_Diff,Away_ML,Home_ML,Start_ET
401817099,2026-09-26,9/26 - 8:40 PM EDT,Arizona Diamondbacks,0,0.11,San Diego Padres,0,0.21,-,-,8:40 PM
401817098,2026-09-26,9/26 - 9:40 PM EDT,Los Angeles Angels,0,-0.56,Seattle Mariners,0,-0.41,-,-,9:40 PM
401817100,2026-09-26,9/26 - 9:40 PM EDT,Houston Astros,0,-0.33,Athletics,0,-1.36,-,-,9:40 PM
401817091,2026-09-26,Bot 2nd,New York Mets,0,-0.23,Washington Nationals,0,0.06,-,-,12:35 PM
401817092,2026-09-26,9/26 - 1:10 PM EDT,Pittsburgh Pirates,0,0.17,Detroit Tigers,0,0.45,-,-,1:10 PM
401817090,2026-09-26,9/26 - 3:07 PM EDT,Cincinnati Reds,0,-1.0,Toronto Blue Jays,0,-0.29,-,-,3:07 PM
401817101,2026-09-26,9/26 - 4:05 PM EDT,Los Angeles Dodgers,0,1.23,San Francisco Giants,0,-0.54,-,-,4:05 PM
401817087,2026-09-26,9/26 - 4:10 PM EDT,Atlanta Braves,0,0.71,Miami Marlins,0,0.04,-,-,4:10 PM
401817097,2026-09-26,9/26 - 4:10 PM EDT,Texas Rangers,0,-0.3,Minnesota Twins,0,-0.35,-,-,4:10 PM
401817094,2026-09-26,9/26 - 7:10 PM EDT,Cleveland Guardians,0,0.04,Kansas City Royals,0,-0.72,-,-,7:10 PM
401817095,2026-09-26,9/26 - 7:10 PM EDT,Colorado Rockies,0,-1.21,Chicago White Sox,0,0.36,-,-,7:10 PM
401817096,2026-09-26,9/26 - 7:10 PM EDT,St. Louis Cardinals,0,-0.16,Milwaukee Brewers,0,1.32,-,-,7:10 PM
401817093,2026-09-26,9/26 - 7:15 PM EDT,Tampa Bay Rays,0,0.49,Philadelphia Phillies,0,0.14,-,-,7:15 PM
401817082,2026-09-25,Final,Texas Rangers,2,-0.3,Minnesota Twins,10,-0.35,-126,105,8:10 PM
401817084,2026-09-25,Final,Arizona Diamondbacks,11,0.11,San Diego Padres,4,0.21,-115,-105,9:40 PM
401817085,2026-09-25,Final,Houston Astros,5,-0.33,Athletics,6,-1.36,-203,166,9:40 PM
401817083,2026-09-25,Final,Los Angeles Angels,7,-0.56,Seattle Mariners,5,-0.41,-105,-115,10:10 PM
401817086,2026-09-25,Final,Los Angeles Dodgers,2,1.23,San Francisco Giants,0,-0.54,-337,264,10:15 PM
401817104,2026-09-25,Final,Chicago Cubs,3,0.89,Boston Red Sox,4,0.51,-123,102,1:05 PM
401817088,2026-09-25,Final,Baltimore Orioles,10,-0.13,New York Yankees,2,0.86,-113,-106,4:05 PM
401817074,2026-09-25,Final,Chicago Cubs,0,0.89,Boston Red Sox,2,0.51,-120,-101,5:30 PM
401817077,2026-09-25,Final,Pittsburgh Pirates,7,0.17,Detroit Tigers,8,0.45,100,-121,6:40 PM
401817078,2026-09-25,Final,Tampa Bay Rays,2,0.49,Philadelphia Phillies,0,0.14,152,-184,6:40 PM
401817076,2026-09-25,Final,New York Mets,6,-0.23,Washington Nationals,7,0.06,-108,-112,6:45 PM
401817073,2026-09-25,Final,Baltimore Orioles,3,-0.13,New York Yankees,6,0.86,-102,-118,7:30 PM
401817075,2026-09-25,Final,Cincinnati Reds,5,-1.0,Toronto Blue Jays,6,-0.29,143,-174,7:07 PM
401817072,2026-09-25,Final,Atlanta Braves,0,0.71,Miami Marlins,3,0.04,-115,-105,7:10 PM
401817079,2026-09-25,Final,Cleveland Guardians,12,0.04,Kansas City Royals,9,-0.72,-148,122,7:40 PM
401817080,2026-09-25,Final,Colorado Rockies,1,-1.21,Chicago White Sox,6,0.36,200,-247,7:40 PM
401817081,2026-09-25,Final,St. Louis Cardinals,4,-0.16,Milwaukee Brewers,8,1.32,158,-193,7:40 PM
401817069,2026-09-24,Final,Los Angeles Angels,6,-0.56,Seattle Mariners,4,-0.41,163,-198,9:40 PM
401817070,2026-09-24,Final,Houston Astros,7,-0.33,Athletics,5,-1.36,-180,148,9:40 PM
401817071,2026-09-24,Final,San Diego Padres,4,0.21,Los Angeles Dodgers,2,1.23,144,-175,10:10 PM
401817063,2026-09-24,Final,St. Louis Cardinals,1,-0.16,Pittsburgh Pirates,2,0.17,138,-167,12:35 PM
401817065,2026-09-24,Final,Chicago White Sox,9,0.36,Kansas City Royals,1,-0.72,-142,118,2:10 PM
401817066,2026-09-24,Final,Miami Marlins,1,0.04,Chicago Cubs,2,0.89,184,-226,2:20 PM
401817067,2026-09-24,Final,New York Mets,1,-0.23,Texas Rangers,3,-0.3,110,-132,2:35 PM
401817068,2026-09-24,Final,Arizona Diamondbacks,12,0.11,Colorado Rockies,8,-1.21,-196,161,3:10 PM
401817062,2026-09-24,Final,Milwaukee Brewers,5,1.32,Philadelphia Phillies,1,0.14,109,-131,6:05 PM
401817061,2026-09-24,Final,Cleveland Guardians,1,0.04,Boston Red Sox,0,0.51,106,-127,6:45 PM
401817064,2026-09-24,Final,Tampa Bay Rays,4,0.49,New York Yankees,6,0.86,123,-149,7:05 PM
401817060,2026-09-24,Final,Cincinnati Reds,7,-1.0,Atlanta Braves,6,0.71,194,-239,7:15 PM
401817051,2026-09-23,Final,Washington Nationals,4,0.06,Detroit Tigers,2,0.45,136,-165,1:10 PM
401923610,2026-09-23,Final,Toronto Blue Jays,2,-0.29,Baltimore Orioles,4,-0.13,106,-127,1:35 PM
401817058,2026-09-23,Final,Minnesota Twins,4,-0.35,San Francisco Giants,2,-0.54,-155,129,3:45 PM
401817050,2026-09-23,Final,Toronto Blue Jays,2,-0.29,Baltimore Orioles,4,-0.13,102,-123,6:35 PM
401817047,2026-09-23,Final,Milwaukee Brewers,4,1.32,Philadelphia Phillies,1,0.14,-126,104,6:40 PM
401817048,2026-09-23,Final,St. Louis Cardinals,5,-0.16,Pittsburgh Pirates,1,0.17,114,-138,6:40 PM
401817046,2026-09-23,Final,Cleveland Guardians,0,0.04,Boston Red Sox,1,0.51,118,-143,7:00 PM
401817049,2026-09-23,Final,Tampa Bay Rays,2,0.49,New York Yankees,9,0.86,118,-143,7:05 PM
401817045,2026-09-23,Final/10,Cincinnati Reds,2,-1.0,Atlanta Braves,3,0.71,223,-279,7:15 PM
401817052,2026-09-23,Final,Chicago White Sox,4,0.36,Kansas City Royals,5,-0.72,-122,101,7:40 PM
401817053,2026-09-23,Final,Miami Marlins,3,0.04,Chicago Cubs,2,0.89,159,-194,7:40 PM
401817054,2026-09-23,Final,New York Mets,7,-0.23,Texas Rangers,2,-0.3,-113,-107,8:05 PM
401817055,2026-09-23,Final,Arizona Diamondbacks,5,0.11,Colorado Rockies,3,-1.21,-168,139,8:40 PM
401817056,2026-09-23,Final,Los Angeles Angels,3,-0.56,Athletics,7,-1.36,-142,118,9:40 PM
401817057,2026-09-23,Final/10,Houston Astros,5,-0.33,Seattle Mariners,6,-0.41,108,-130,10:00 PM
401817059,2026-09-23,Final,San Diego Padres,5,0.21,Los Angeles Dodgers,1,1.23,194,-239,10:10 PM
